KABUPATEN,KECAMATAN,KODE BPS,DESA,IKS,IKE,IKL,IDM,KATEGORI IDM,BINARY STATUS,matches
ACEH UTARA,SYAMTALIRA BAYU,1111040015,ALEN,0.72,5833,0.6,6344,BERKEMBANG,MAJU,"('SYAMTALIRA BAYU', 100)"
ACEH UTARA,SYAMTALIRA BAYU,1111040020,SEUNEUBOK BARO,5486,0.35,0.6,4995,TERTINGGAL,TERTINGGAL,"('SYAMTALIRA BAYU', 100)"
ACEH UTARA,TANAH LUAS,1111120071,MATANG CIBREK,6914,0.55,0.6,6138,BERKEMBANG,MAJU,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120054,MEUNASAH TUTONG,0.64,4667,4667,5244,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120059,TEUNGKU DIBALEE,7429,5667,5333,6143,BERKEMBANG,MAJU,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120057,JEUMPA BERGHANG,0.56,0.5,5333,5311,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120056,TEUNGOH BERGHANG,7086,5667,0.6,6251,BERKEMBANG,MAJU,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120058,PANTE BERGHANG,0.52,4833,5333,5122,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120048,RAYEUK MUNYE,7714,4833,0.6,6183,BERKEMBANG,MAJU,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120032,CIBREK,6971,4667,0.6,5879,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120024,TEUPIN MEE,0.6,4333,5333,5222,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120018,PUNTI SEULEUMAK BARAT,6057,0.4,0.6,5352,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120017,LEUHONG,0.64,4667,6667,5911,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH PASIR,1111150017,MEE MATANG PANYANG,0.6,0.3,6667,5222,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150004,GAMPONG PANDE,7543,4833,4667,5681,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150009,MATANG RANUP LASEH,6686,0.45,0.6,5729,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150029,KUALA KEUREUTOU BARAT,7486,4167,0.6,5884,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,T. JAMBO AYE,1111080059,TEUPIN GAJAH,6114,5833,6667,6205,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080070,GEULUMPANG UMPUNG UNOU,5657,0.5,6667,5775,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080069,RANTO PANYANG,0.64,4833,0.6,5744,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080068,SEUNEUBOK DOE,5314,5333,6667,5771,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080066,MEUNASAH GEUDONG,5886,4667,6667,574,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080067,MEUNASAH MERBO,5829,5333,6667,5943,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080060,TANJONG MEUNYE,5771,4333,6667,559,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080061,MATANG JURONG,5657,4667,6667,5663,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080062,TANJONG DALAM UTARA,5943,5167,6667,5925,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080065,MEUNASAH DAYAH,5543,0.5,6667,5737,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080064,SEUNEUBOK PIDIE,5543,4167,0.6,5237,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080063,TANJONG MENUANG,6457,4167,6667,5763,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080030,MATANG TEUNGOH-TEUNGOH,5657,0.45,6667,5608,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080035,LHOK REUDEUP,5657,4833,6667,5719,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080033,LHOK MERBO,5714,4833,6667,5738,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080039,TANJONG ARA,6114,5167,6667,5983,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080037,ALUE IE MIRAH,7086,5833,0.8,6973,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080038,TANJONG PUNTI,5143,4167,6667,5325,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080034,BUKIT ALUE PUTEH,6629,0.45,6667,5932,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080024,BUKET JRAT MANYANG,5829,5167,6667,5887,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080036,MATANG MANEH,5657,4833,6667,5719,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080028,PUCOK ALUE,5086,4667,6667,5473,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080029,MATANG SERDANG,5771,0.55,0.6,5757,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080040,MATANG SANTOT,5829,0.45,0.6,5443,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080031,BUKET PADANG,6114,5167,6667,5983,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080026,MATANG SEUKE PULOT,0.68,0.45,6667,5989,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080032,LHOK BEURINGEN,6343,0.45,6667,5837,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080027,LUENG TUHA,0.68,0.45,6667,5989,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080025,MATANG RAYA,5829,4667,6667,5721,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080057,TANJONG CEUNGAI,5943,4833,5333,537,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080058,TEUPIN BAYU,5486,3833,0.6,5106,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080056,MEUNASAH PANTON LABU,6571,5833,5333,5913,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080055,KOTA PANTON LABU,6686,8333,0.6,7006,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080054,RAWANG ITEK,0.72,5667,0.6,6289,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080053,SAMAKUROK,6914,5833,6667,6471,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080048,BIARA BARAT,6229,4833,6667,591,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080049,BIARA TIMUR,0.64,0.45,0.6,5633,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080050,MATANG DRIEN,6743,4667,4667,5359,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080051,CEUMPEUDAK,0.72,0.6,6667,6622,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080052,ALUE PAPEUN,6171,5167,0.6,5779,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080047,LHOK BINTANG HU,6171,4833,0.6,5668,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080044,BIRAM RAYEUK,5829,4333,6667,561,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080045,COT BIEK,6114,4333,6667,5705,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080046,MATANG ARONGAN,6171,4333,6667,5724,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080043,BIRAM CUT,5486,5167,6667,5773,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080042,BUKET BATEE BADAN,5829,3667,0.6,5165,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080041,ULEE GLEE,5657,4667,0.6,5441,TERTINGGAL,TERTINGGAL,
ACEH UTARA,SAWANG,1111010037,GLE DAGANG,6971,4833,0.6,5935,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010033,COT KUMUNENG,6286,3333,4667,4762,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,NISAM,1111020025,MEUNASAH MEUCAT,6514,6167,0.6,6227,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020027,COT MEE,6229,4167,0.6,5465,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,COT GIREK,1111070003,LHOK MEURBO,7029,0.4,4667,5232,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,COT GIREK,1111070004,KP. BANTAN,6171,0.3,0.6,5057,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,COT GIREK,1111070007,KP. TEMPEL,6971,3167,0.6,5379,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,COT GIREK,1111070019,CEMPEUDAK,5943,0.3,6667,5203,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,COT GIREK,1111070018,U BARO.,6686,0.5,0.6,5895,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,COT GIREK,1111070014,GAMPONG ARA,6114,4167,0.6,5427,TERTINGGAL,TERTINGGAL,"('COT GIREK', 100)"
ACEH UTARA,LANGKAHAN,1111081011,MATANG TEUNGOH SELATAN,4686,3833,0.6,484,SANGAT TERTINGGAL,TERTINGGAL,"('LANGKAHAN', 100)"
ACEH UTARA,LANGKAHAN,1111081001,LUBOK PUSAKA,4229,3667,0.2,3298,SANGAT TERTINGGAL,TERTINGGAL,"('LANGKAHAN', 100)"
ACEH UTARA,BAKTIYA BARAT,1111101015,KEUDE SAMPOINIET,0.76,7667,6667,7311,MAJU,MAJU,"('BAKTIYA BARAT', 100)"
ACEH UTARA,BAKTIYA BARAT,1111101024,BLANG RHEUE,5314,0.4,5333,4883,SANGAT TERTINGGAL,TERTINGGAL,"('BAKTIYA BARAT', 100)"
ACEH UTARA,PAYA BAKONG,1111061023,TGK. DIBANDA PIRAK,5886,4333,0.6,5406,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061018,KEBON PIRAK,5829,2667,5333,461,SANGAT TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061007,ULUE BIENG,6743,4167,0.6,5637,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061030,TANJONG BURUNYONG,6114,0.3,0.6,5038,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061011,GAMPONG NGA,5257,0.35,0.6,4919,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061013,TANJUNG DRIEN,0.68,5167,0.6,5989,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061016,TGK. DIBANDA TEK-TEK,7086,4833,0.6,5973,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,PAYA BAKONG,1111061014,COT TEUFAH,0.56,2833,6667,5033,TERTINGGAL,TERTINGGAL,"('PAYA BAKONG', 100)"
ACEH UTARA,NIBONG,1111121019,NIBONG WAKHEUH,7429,0.55,0.6,631,BERKEMBANG,MAJU,"('NIBONG', 100)"
ACEH UTARA,NIBONG,1111121012,SUMBOK RAYEUK,7314,0.5,4667,566,TERTINGGAL,TERTINGGAL,"('NIBONG', 100)"
ACEH UTARA,NIBONG,1111121009,MEUNYE LHEE,0.64,4833,6667,5967,TERTINGGAL,TERTINGGAL,"('NIBONG', 100)"
ACEH UTARA,NIBONG,1111121014,KEH NIBONG,6686,0.35,6667,5617,TERTINGGAL,TERTINGGAL,"('NIBONG', 100)"
ACEH UTARA,SIMPANG KRAMAT,1111031009,KEUDE SIMPANG EMPAT,0.76,5333,0.6,6311,BERKEMBANG,MAJU,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031008,SEUNEUBOK PUNTI,6743,0.4,0.6,5581,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031016,PAYA LEUPAH,0.68,0.4,5333,5378,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031015,PAYA TEUNGOH,6686,0.45,6667,5951,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031005,KEUBON BARO,6343,0.4,6667,567,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031012,MEUNASAH TEUNGOH,6457,3167,0.6,5208,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031011,MEUNASAH BAROH,0.68,0.4,5333,5378,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031013,MANCANG,6514,3333,0.6,5283,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031014,ALUE BADEE,0.64,3333,4667,0.48,SANGAT TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031004,MEUNASAH DAYAH SPK,6743,3667,5333,5248,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031003,KILOMETER VI,5429,3833,8667,5976,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031002,KILOMETER VIII,0.64,4167,0.6,5522,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031006,IE TAREK I,6286,4333,0.6,554,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031007,IE TAREK II,6686,0.3,0.6,5229,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031001,PASE SENTOSA,6857,0.45,4667,5341,TERTINGGAL,TERTINGGAL,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,SIMPANG KRAMAT,1111031010,BLANG RALEUE,6571,5167,6667,6135,BERKEMBANG,MAJU,"('SIMPANG KERAMAT', 97)"
ACEH UTARA,LAPANG,1111151001,KEUREUTOU,0.68,5333,0.8,6711,BERKEMBANG,MAJU,"('LAPANG', 100)"
ACEH UTARA,LAPANG,1111151005,TANJONG DAMA,6686,0.6,5333,6006,BERKEMBANG,MAJU,"('LAPANG', 100)"
ACEH UTARA,LAPANG,1111151011,KUALA KEREUTO,7257,3667,5333,5419,TERTINGGAL,TERTINGGAL,"('LAPANG', 100)"
ACEH UTARA,LAPANG,1111151010,KUALA CANGKOY,7429,7333,0.6,6921,BERKEMBANG,MAJU,"('LAPANG', 100)"
ACEH UTARA,PIRAK TIMUR,1111062019,RAYEUK PANGE,7486,0.5,4667,5717,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062020,BUNGONG,3943,3667,0.6,4537,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062021,GEULUMPANG,5771,3167,2667,3868,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062022,ASAN KRUENG KREH,4229,2833,0.6,4354,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062023,BEURACAN RATA,0.44,2833,5333,4189,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062011,REUNGKAM,4743,0.35,3333,3859,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062016,TRIENG KRUENG KREH,4457,3833,3333,3875,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062010,KEUTAPANG,5314,4667,3333,4438,SANGAT TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062009,BILI BARO,5714,0.5,5333,5349,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062003,PAYA LUENG JALO,6171,4833,6667,589,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062002,ALUE RIMEE,5829,3667,6667,5387,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062004,SERDANG,5771,3667,0.8,5813,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062008,ARA TON-TON MONCRANG,5771,0.4,0.6,5257,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062001,TANJONG SEUREUKUY,5257,3833,0.6,503,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062005,ULEE BLANG,5429,5667,6667,5921,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062018,KRUENG PIRAK,5886,0.5,5333,5406,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062017,MATANG KEH,6514,4833,0.6,5783,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062015,LEUPE,0.64,0.55,4667,5522,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062014,CEUMEUCET,0.6,0.35,0.6,5167,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062012,TEUPIN U,5714,3333,0.6,5016,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062013,ALUE BUNGKOH,5886,0.55,0.6,5795,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062007,PUCOK ALUE,6114,0.45,0.6,5538,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,PIRAK TIMUR,1111062006,MEUNYE TUJOH,6286,0.35,5333,504,TERTINGGAL,TERTINGGAL,"('PIRAK TIMU', 95)"
ACEH UTARA,GEUREDONG PASE,1111041010,LHOK ASAN,6971,0.45,3333,4935,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041011,DARUL AMAN,0.6,5333,0.4,5111,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041009,ALUE AWE,0.72,5833,4667,0.59,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041008,DARUSSALAM,6971,0.4,0.4,499,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041007,RAYEUK JAWA,7886,5167,2667,524,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041004,DAYAH SEUPENG,7143,6667,4667,6159,BERKEMBANG,MAJU,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041005,URAM JALAN,6914,5167,2667,4916,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041006,PEUDARI,7257,0.55,4667,5808,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041003,KRUENG MBANG,6514,4667,4667,5283,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041002,PULO MEURIA,6629,5667,5333,5876,TERTINGGAL,TERTINGGAL,"('GEUREUDONG PASE', 97)"
ACEH UTARA,GEUREDONG PASE,1111041001,SUKA DAMAI,7943,6667,5333,6648,BERKEMBANG,MAJU,"('GEUREUDONG PASE', 97)"
ACEH UTARA,BANDA BARO,1111022002,ALUE KEURINYAI,6629,3333,8667,621,BERKEMBANG,MAJU,"('BANDA BARO', 100)"
ACEH UTARA,BANDA BARO,1111022009,PAYA BEUNYET,7314,3167,7333,5938,TERTINGGAL,TERTINGGAL,"('BANDA BARO', 100)"